index,id,datetime,time,reading,measure,port
19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,0.14,NO2,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,670.16,C3H8,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,456.66,C4H10,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,717.69,CH4,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,0.77,H2,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,1.70,C2H5OH,COM5

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,19.88,O2,COM6

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,980.0,Pressure,COM6

19,pine chip NO3 humid,03/20/2018 12:42:40,540.000,31.2,uvTemperature,COM6

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,768.0,CO2,COM4

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,48.8,Humidity,COM4

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,27.8,Temperature,COM4

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,0.76,NH3,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,4.56,CO,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,0.14,NO2,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,677.35,C3H8,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,460.81,C4H10,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,730.95,CH4,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,0.78,H2,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,1.71,C2H5OH,COM5

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,19.88,O2,COM6

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,980.0,Pressure,COM6

20,pine chip NO3 humid,03/20/2018 12:43:10,570.000,31.3,uvTemperature,COM6

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,774.0,CO2,COM4

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,49.4,Humidity,COM4

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,27.9,Temperature,COM4

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,0.77,NH3,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,4.59,CO,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,0.13,NO2,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,684.61,C3H8,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,465.00,C4H10,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,744.45,CH4,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,0.78,H2,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,1.72,C2H5OH,COM5

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,19.87,O2,COM6

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,980.0,Pressure,COM6

21,pine chip NO3 humid,03/20/2018 12:43:40,600.000,31.4,uvTemperature,COM6

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,779.0,CO2,COM4

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,50.0,Humidity,COM4

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,28.0,Temperature,COM4

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,0.77,NH3,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,4.61,CO,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,0.13,NO2,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,691.93,C3H8,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,469.22,C4H10,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,758.18,CH4,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,0.79,H2,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,1.73,C2H5OH,COM5

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,19.86,O2,COM6

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,980.0,Pressure,COM6

22,pine chip NO3 humid,03/20/2018 12:44:10,630.000,31.5,uvTemperature,COM6

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,741.0,CO2,COM4

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,50.5,Humidity,COM4

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,28.0,Temperature,COM4

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,0.78,NH3,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,4.63,CO,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,0.13,NO2,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,699.33,C3H8,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,473.47,C4H10,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,772.15,CH4,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,0.79,H2,COM5

23,pine chip NO3 humid,03/20/2018 12:44:40,660.000,1.74,C2H5OH,COM5

